ID;Genero;rango_edad;distrito;nivel_educativo;situacion_laboral;nivel_socioeconomico;variedad_productos_financieros;conceptos_ahorro;Tarjeto de Debito;depósitos en cuentas de ahorro/corriente;Préstamos personales;Tarjeta de crédito;Compras en cuotas con tarjeta de crédito;No he utilizado ninguno;prestamos_garantia;inversion_fondos_comunes;diferencias_creditos;leasing;arrendamiento_financiero;creditos_educativos;ventajas_desventajas;menores_edad;mayores_edad;responsable_desiciones;presupuesto;presupuesto_familiar;plan_presupuesto_familiar
1602;Masculino;26 - 39 años;Distrito 6;Educación técnica o profesional;Autónomo;Medio;Si;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No estoy seguro/a;Si;No;No estoy seguro/a;Si;Si;2;2;Yo mismo/a;Si;Si;La mayoría de las veces
1603;Masculino;18 - 25 años;Distrito 6;Educación secundaria;Estudiante;Medio;No estoy seguro/a;No estoy seguro/a;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No;No;No;No estoy seguro/a;3;2;Otro;No estoy seguro/a;No estoy seguro/a;Algunas veces
1604;Masculino;26 - 39 años;Distrito 6;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No;No;No;No estoy seguro/a;Ninguno;1;Ambos, en colaboración;No estoy seguro/a;No estoy seguro/a;No tengo un plan
1605;Femenino;18 - 25 años;Distrito 6;Educación universitaria;Estudiante;Bajo;Si;No estoy seguro/a;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;Si;3;3;Otro;Si;Si;Algunas veces
1606;Masculino;40 años o más;Distrito 6;Educación técnica o profesional;Jubilado;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;No;Si;Si;Si;Ninguno;3;Ambos, en colaboración;Si;Si;Algunas veces
1607;Femenino;26 - 39 años;Distrito 6;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;No estoy seguro/a;No estoy seguro/a;Si;Si;No estoy seguro/a;Si;2;1;Yo mismo/a;Si;Si;Algunas veces
1609;Masculino;40 años o más;Distrito 6;Educación técnica o profesional;Estudiante;Medio;No estoy seguro/a;No estoy seguro/a;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;No;No;No;Si;Si;Ninguno;Ninguna;Yo mismo/a;No estoy seguro/a;No;No tengo un plan
1611;Masculino;26 - 39 años;Distrito 6;Educación técnica o profesional;Estudiante;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;3;2;Ambos, en colaboración;Si;Si;Algunas veces
1612;Femenino;26 - 39 años;Distrito 6;Educación secundaria;Estudiante;Medio;Si;Si;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;Si;Si;Si;Si;Ninguno;2;Mi cónyuge o pareja;No;No;No tengo un plan
1613;Femenino;18 - 25 años;Distrito 6;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;No;Si;Si;Si;1;3;Otro;No;Si;La mayoría de las veces
1614;Femenino;18 - 25 años;Distrito 6;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;Si;No;Si;Si;Si;No;2;2;Yo mismo/a;No;No;La mayoría de las veces
1615;Masculino;18 - 25 años;Distrito 6;Educación universitaria;Estudiante;Medio;Si;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;3;3;Yo mismo/a;Si;Si;Siempre
1616;Masculino;26 - 39 años;Distrito 6;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;No estoy seguro/a;Si;No;Si;2;3;Yo mismo/a;Si;Si;La mayoría de las veces
1617;Masculino;18 - 25 años;Distrito 6;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;No;Si;Si;Si;Ninguno;1;Yo mismo/a;Si;Si;Siempre
1618;Masculino;18 - 25 años;Distrito 6;Educación secundaria;Empleado a tiempo parcial;Medio;Si;No estoy seguro/a;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;No;Si;No;No estoy seguro/a;No;Si;2;3;Yo mismo/a;Si;Si;Algunas veces
1619;Femenino;40 años o más;Distrito 6;Educación secundaria;Autónomo;Medio;No;Si;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;Si;No estoy seguro/a;Si;Si;Si;1;3;Yo mismo/a;Si;No;No tengo un plan
1620;Masculino;26 - 39 años;Distrito 6;Educación universitaria;Empleado a tiempo completo;Medio;Si;Si;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;Si;Si;Si;No;Si;Si;Si;2;1;Ambos, en colaboración;Si;Si;La mayoría de las veces
1621;Femenino;40 años o más;Distrito 6;Educación secundaria;Empleado a tiempo completo;Medio;Si;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;No;Si;No estoy seguro/a;Si;No estoy seguro/a;1;1;Otro;Si;Si;La mayoría de las veces
1622;Femenino;26 - 39 años;Distrito 6;Educación secundaria;Autónomo;Medio;Si;No;VERDADERO;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;Si;No;Si;No;No estoy seguro/a;Si;No;3;1;Yo mismo/a;Si;Si;La mayoría de las veces
1623;Femenino;26 - 39 años;Distrito 6;Educación secundaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;Si;No;Si;Si;No;Si;2;2;Ambos, en colaboración;Si;Si;Algunas veces
1624;Masculino;26 - 39 años;Distrito 6;Educación secundaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;Si;No;Si;Si;No;Si;2;2;Ambos, en colaboración;Si;Si;Algunas veces
1625;Femenino;40 años o más;Distrito 6;Educación secundaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No;No;No;No;Si;Si;1;3;Yo mismo/a;Si;No estoy seguro/a;La mayoría de las veces
1626;Masculino;40 años o más;Distrito 6;Postgrado;Jubilado;Alto;Si;Si;VERDADERO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;No estoy seguro/a;Si;Si;Si;Si;No estoy seguro/a;Si;2;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
1627;Masculino;18 - 25 años;Distrito 6;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;Si;No estoy seguro/a;No estoy seguro/a;No;Si;No;3;3;Otro;Si;Si;Algunas veces
1628;Masculino;40 años o más;Distrito 6;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;VERDADERO;FALSO;No;No;Si;No;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;2;2;Yo mismo/a;Si;Si;Siempre
1629;Femenino;18 - 25 años;Distrito 6;Educación universitaria;Estudiante;Medio;Si;No estoy seguro/a;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;No estoy seguro/a;No;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;Si;No estoy seguro/a;Ninguno;3;Otro;Si;Si;Siempre
1630;Masculino;40 años o más;Distrito 6;Educación secundaria;Autónomo;Medio;Si;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;No;No;No;No;No;No;No;Ninguno;1;Yo mismo/a;Si;Si;Siempre
1631;Femenino;40 años o más;Distrito 6;Educación universitaria;Empleado a tiempo completo;Bajo;No;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;Si;Si;No;Si;2;2;Yo mismo/a;Si;Si;Siempre
1632;Masculino;18 - 25 años;Distrito 6;Educación universitaria;Estudiante;Bajo;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;Si;Si;Si;Si;Si;Ninguno;3;Yo mismo/a;No;Si;Algunas veces
1633;Femenino;18 - 25 años;Distrito 6;Educación universitaria;Estudiante;Medio;Si;Si;FALSO;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;Ninguno;2;Yo mismo/a;Si;Si;Siempre
1634;Masculino;26 - 39 años;Distrito 6;Educación secundaria;Desempleado;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;1;1;Mi cónyuge o pareja;Si;No;Siempre
1635;Femenino;40 años o más;Distrito 6;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;Si;No;No;No;Si;2;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
1636;Femenino;26 - 39 años;Distrito 6;Educación técnica o profesional;Autónomo;Medio;No estoy seguro/a;Si;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;2;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
1638;Femenino;18 - 25 años;Distrito 6;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;No;Si;No;Si;No;Si;Ninguno;1;Otro;Si;Si;Algunas veces
1639;Femenino;40 años o más;Distrito 6;Educación universitaria;Otro;Medio;Si;Si;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;No;Si;Si;No;No;No;No;3;Ninguna;Yo mismo/a;Si;Si;La mayoría de las veces
1640;Femenino;26 - 39 años;Distrito 6;Educación técnica o profesional;Empleado a tiempo completo;Bajo;No estoy seguro/a;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;No;Si;Si;Si;2;2;Yo mismo/a;Si;Si;Algunas veces
1641;Femenino;40 años o más;Distrito 6;Educación universitaria;Empleado a tiempo completo;Medio;Si;Si;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;Si;No;Si;Si;Si;3;2;Ambos, en colaboración;Si;Si;Siempre
1642;Masculino;40 años o más;Distrito 6;Educación primaria;Autónomo;Medio;No estoy seguro/a;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No;No estoy seguro/a;No;No;2;2;Yo mismo/a;Si;No;No tengo un plan
1643;Femenino;40 años o más;Distrito 6;Educación secundaria;Autónomo;Medio;No estoy seguro/a;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No;No estoy seguro/a;No;No estoy seguro/a;1;3;Ambos, en colaboración;Si;Si;Algunas veces
1644;Masculino;26 - 39 años;Distrito 6;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;1;2;Yo mismo/a;Si;Si;La mayoría de las veces
1645;Masculino;18 - 25 años;Distrito 6;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;No;Si;No;Si;2;2;Otro;Si;Si;Siempre
1646;Masculino;40 años o más;Distrito 6;Educación primaria;Autónomo;Alto;Si;Si;VERDADERO;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;Si;Si;Si;No estoy seguro/a;2;2;Mi cónyuge o pareja;Si;Si;Siempre
1647;Femenino;18 - 25 años;Distrito 6;Educación universitaria;Empleado a tiempo completo;Medio;Si;No estoy seguro/a;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No;No;No;No;Ninguno;3;Yo mismo/a;Si;No estoy seguro/a;No tengo un plan
1648;Femenino;40 años o más;Distrito 6;Educación técnica o profesional;Empleado a tiempo parcial;Medio;Si;No;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;No;Si;Si;No estoy seguro/a;No estoy seguro/a;No;Si;Ninguno;1;Ambos, en colaboración;No estoy seguro/a;No estoy seguro/a;Nunca
1649;Masculino;26 - 39 años;Distrito 6;Postgrado;Otro;Medio;No;Si;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;No;Si;Si;No;No;No;3;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
1650;Masculino;26 - 39 años;Distrito 6;Educación universitaria;Autónomo;Alto;Si;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;Si;Ninguno;2;Yo mismo/a;Si;Si;Siempre
1651;Femenino;18 - 25 años;Distrito 6;Educación universitaria;Estudiante;Medio;Si;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;1;2;Ambos, en colaboración;Si;Si;Siempre
1652;Masculino;26 - 39 años;Distrito 6;Educación secundaria;Autónomo;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;No;No;No estoy seguro/a;No estoy seguro/a;Si;No;Si;2;2;Mi cónyuge o pareja;Si;Si;La mayoría de las veces
1653;Masculino;18 - 25 años;Distrito 6;Educación secundaria;Desempleado;Bajo;No;No;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;No;No;2;1;Otro;No;No;No tengo un plan
1654;Femenino;26 - 39 años;Distrito 6;Educación técnica o profesional;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;No estoy seguro/a;Ninguno;1;Yo mismo/a;Si;Si;Algunas veces
1655;Femenino;40 años o más;Distrito 6;Educación secundaria;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;No;No;Si;Si;Si;1;3;Ambos, en colaboración;No;Si;Algunas veces
1656;Femenino;40 años o más;Distrito 6;Sin educación formal;Desempleado;Medio;No estoy seguro/a;Si;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;No;No;No;No estoy seguro/a;No;Si;Si;3;3;Yo mismo/a;No estoy seguro/a;Si;Algunas veces
1657;Femenino;18 - 25 años;Distrito 6;Educación universitaria;Desempleado;Medio;No;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;No estoy seguro/a;Si;No estoy seguro/a;No;No;No;Si;Ninguno;3;Yo mismo/a;Si;Si;La mayoría de las veces
1658;Femenino;18 - 25 años;Distrito 6;Educación universitaria;Estudiante;Medio;No;No estoy seguro/a;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;Si;No estoy seguro/a;Ninguno;3;Otro;Si;Si;La mayoría de las veces
1659;Femenino;18 - 25 años;Distrito 7;Educación universitaria;Estudiante;Alto;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;Si;No;No;Si;Si;Ninguno;2;Otro;Si;Si;Siempre
1660;Masculino;18 - 25 años;Distrito 7;Educación universitaria;Desempleado;Medio;No;No;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;No estoy seguro/a;No estoy seguro/a;No;Si;No estoy seguro/a;No;No estoy seguro/a;1;2;Mi cónyuge o pareja;No estoy seguro/a;No;La mayoría de las veces
1661;Masculino;18 - 25 años;Distrito 7;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;VERDADERO;FALSO;Si;Si;Si;Si;Si;Si;Si;1;2;Yo mismo/a;Si;Si;Algunas veces
1662;Femenino;40 años o más;Distrito 7;Educación universitaria;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;No;Si;No estoy seguro/a;No estoy seguro/a;Si;Si;1;1;Yo mismo/a;Si;Si;La mayoría de las veces
1663;Femenino;40 años o más;Distrito 7;Educación primaria;Empleado a tiempo parcial;Medio;No;No estoy seguro/a;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;No;No;No estoy seguro/a;No;No;No estoy seguro/a;No;3;3;Ambos, en colaboración;No;No;Nunca
1664;Femenino;40 años o más;Distrito 7;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Si;No;No;No;No;No estoy seguro/a;No;2;Ninguna;Ambos, en colaboración;Si;Si;Siempre
1665;Masculino;40 años o más;Distrito 7;Educación universitaria;Jubilado;Medio;No;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;Si;No;No;Si;Si;1;2;Mi cónyuge o pareja;Si;No;No tengo un plan
1666;Femenino;40 años o más;Distrito 7;Educación universitaria;Desempleado;Medio;No estoy seguro/a;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;No;No;No estoy seguro/a;No;No;Si;No;1;2;Yo mismo/a;Si;No;No tengo un plan
1667;Femenino;18 - 25 años;Distrito 7;Educación universitaria;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;No;No;Si;No;Si;Si;Si;2;3;Yo mismo/a;No;No;No tengo un plan
1668;Masculino;26 - 39 años;Distrito 7;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;1;2;Ambos, en colaboración;Si;Si;Algunas veces
1669;Femenino;18 - 25 años;Distrito 7;Educación universitaria;Empleado a tiempo completo;Alto;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;No;No;No;No;Si;Si;3;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
1670;Masculino;18 - 25 años;Distrito 7;Educación técnica o profesional;Empleado a tiempo parcial;Medio;No;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No;No;No;No;No estoy seguro/a;No;Ninguno;1;Yo mismo/a;No;No;No tengo un plan
1671;Masculino;18 - 25 años;Distrito 7;Educación universitaria;Estudiante;Medio;No;Si;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;No;Si;No;No;Si;No;Ninguno;Ninguna;Yo mismo/a;Si;Si;La mayoría de las veces
1672;Masculino;40 años o más;Distrito 7;Educación técnica o profesional;Desempleado;Medio;No;No;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO;No;No;No;No;No;No;No;3;3;Ambos, en colaboración;No;No;Nunca
1673;Femenino;26 - 39 años;Distrito 7;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;No;No;No;Si;2;3;Yo mismo/a;Si;Si;La mayoría de las veces
1674;Masculino;18 - 25 años;Distrito 7;Educación universitaria;Estudiante;Bajo;Si;Si;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;No;Si;No;Si;No;Si;Si;1;3;Yo mismo/a;Si;Si;La mayoría de las veces
1675;Femenino;18 - 25 años;Distrito 7;Educación universitaria;Empleado a tiempo parcial;Medio;No estoy seguro/a;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;Si;Si;No;Si;Si;Si;Ninguno;3;Yo mismo/a;Si;No;No tengo un plan
1676;Masculino;40 años o más;Distrito 7;Educación secundaria;Otro;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;No;No;Si;Si;3;3;Yo mismo/a;Si;Si;La mayoría de las veces
1677;Femenino;40 años o más;Distrito 7;Educación secundaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;No estoy seguro/a;No estoy seguro/a;No;Si;Si;No estoy seguro/a;2;2;Ambos, en colaboración;Si;Si;Siempre
1678;Masculino;40 años o más;Distrito 7;Educación secundaria;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;Si;Si;Si;Si;3;2;Mi cónyuge o pareja;Si;Si;Algunas veces
1679;Femenino;26 - 39 años;Distrito 7;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;Si;No estoy seguro/a;No;No;No;No;No;2;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
1680;Masculino;18 - 25 años;Distrito 7;Educación secundaria;Estudiante;Medio;No;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;No estoy seguro/a;Si;Si;Si;Ninguno;2;Yo mismo/a;No;No;Nunca
1681;Femenino;26 - 39 años;Distrito 7;Postgrado;Autónomo;Medio;No;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;No;Si;No estoy seguro/a;No;No;No estoy seguro/a;No estoy seguro/a;Ninguno;2;Yo mismo/a;Si;No;Algunas veces
1682;Masculino;18 - 25 años;Distrito 7;Educación universitaria;Estudiante;Medio;No estoy seguro/a;Si;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;No;Si;No estoy seguro/a;Si;3;2;Otro;Si;Si;Siempre
1683;Masculino;26 - 39 años;Distrito 7;Educación universitaria;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;No estoy seguro/a;No estoy seguro/a;Si;Si;No estoy seguro/a;No;Si;Ninguno;2;Mi cónyuge o pareja;Si;Si;La mayoría de las veces
1684;Femenino;26 - 39 años;Distrito 7;Educación secundaria;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;No;Si;No estoy seguro/a;No;Si;1;1;Mi cónyuge o pareja;Si;Si;La mayoría de las veces
1685;Femenino;26 - 39 años;Distrito 7;Educación técnica o profesional;Empleado a tiempo completo;Alto;Si;Si;VERDADERO;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;Si;No;No estoy seguro/a;Si;No;No estoy seguro/a;Si;Ninguno;1;Mi cónyuge o pareja;No;Si;Algunas veces
1686;Masculino;18 - 25 años;Distrito 7;Educación universitaria;Estudiante;Bajo;No estoy seguro/a;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;Si;No;No;Si;Si;1;2;Yo mismo/a;Si;Si;La mayoría de las veces
1687;Femenino;26 - 39 años;Distrito 7;Postgrado;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;No;Si;Ninguno;1;Yo mismo/a;Si;Si;La mayoría de las veces
1688;Masculino;18 - 25 años;Distrito 7;Educación universitaria;Estudiante;Bajo;No;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;Si;No estoy seguro/a;Si;Si;Ninguno;Ninguna;Yo mismo/a;No;No;Nunca
1689;Femenino;26 - 39 años;Distrito 7;Educación técnica o profesional;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;No;Si;Ninguno;1;Yo mismo/a;Si;Si;Algunas veces
1690;Masculino;26 - 39 años;Distrito 7;Educación técnica o profesional;Desempleado;Medio;No estoy seguro/a;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;Si;Si;1;3;Yo mismo/a;Si;Si;Siempre
1691;Masculino;40 años o más;Distrito 7;Postgrado;Jubilado;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;No;Si;No;No;No;Si;Si;1;2;Mi cónyuge o pareja;Si;Si;La mayoría de las veces
1692;Femenino;18 - 25 años;Distrito 7;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;Si;No;No estoy seguro/a;No;No;Si;No estoy seguro/a;Ninguno;2;Yo mismo/a;Si;No;Nunca
1693;Masculino;40 años o más;Distrito 7;Educación secundaria;Jubilado;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;No;No;Si;Si;No;Si;No;Ninguno;1;Yo mismo/a;Si;Si;La mayoría de las veces
1694;Femenino;18 - 25 años;Distrito 7;Educación técnica o profesional;Empleado a tiempo parcial;Bajo;No;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;No;No;3;1;Yo mismo/a;No;No;No tengo un plan
1695;Masculino;18 - 25 años;Distrito 7;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;Si;Si;Si;Si;2;2;Otro;Si;Si;Siempre
1696;Masculino;18 - 25 años;Distrito 7;Educación secundaria;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;Si;No;Si;No estoy seguro/a;Ninguno;3;Otro;Si;Si;Siempre
1697;Masculino;18 - 25 años;Distrito 7;Educación universitaria;Estudiante;Medio;No;No estoy seguro/a;VERDADERO;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;No;No;Si;Si;No;No estoy seguro/a;Si;1;3;Mi cónyuge o pareja;Si;Si;La mayoría de las veces
1698;Femenino;40 años o más;Distrito 7;Educación técnica o profesional;Otro;Bajo;No estoy seguro/a;No estoy seguro/a;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No;Ninguno;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
1699;Masculino;18 - 25 años;Distrito 7;Educación secundaria;Empleado a tiempo completo;Medio;Si;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;Si;No;No;No;No;Ninguno;2;Mi cónyuge o pareja;Si;No;No tengo un plan
1700;Femenino;40 años o más;Distrito 7;Educación universitaria;Empleado a tiempo completo;Medio;No;No;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;No estoy seguro/a;No;No;Si;No;Ninguno;1;Yo mismo/a;Si;Si;La mayoría de las veces
1701;Femenino;26 - 39 años;Distrito 7;Educación universitaria;Desempleado;Medio;Si;Si;FALSO;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;Si;Si;Si;No;No;Si;No;1;2;Yo mismo/a;Si;Si;Siempre
